id,date,open,open_mov_av,open_diff,close,close_mov_av,close_diff,high,low
,02/06/2021,144.619995,,,145.720001,,,145.75,144.110001
,01/06/2021,145,,,144.190002,,,145.830002,143.75
,28/05/2021,144.210007,144.6100007,-0.399993667,143.740005,144.5500027,-0.809997667,144.330002,143.490005
,27/05/2021,143.820007,144.343338,-0.523331,143.820007,143.9166713,-0.096664333,144.770004,143.630005
,26/05/2021,143.5,143.843338,-0.343338,143.380005,143.6466723,-0.266667333,143.990005,143.039993
,25/05/2021,144.919998,144.0800017,0.839996333,143.789993,143.663335,0.126658,145,143.199997
,24/05/2021,145.059998,144.493332,0.566666,144.720001,143.963333,0.756668,145.389999,144.179993
,21/05/2021,144.279999,144.7533317,-0.473332667,144.740005,144.4166663,0.323338667,145.699997,144.279999
,20/05/2021,143.119995,144.1533307,-1.033335667,143.880005,144.4466703,-0.566665333,144.910004,142.160004
,19/05/2021,142.320007,143.2400003,-0.919993333,143.190002,143.9366707,-0.746668667,143.199997,140.919998
,18/05/2021,144.779999,143.406667,1.373332,143.910004,143.6600037,0.250000333,145.300003,143.229996
,17/05/2021,144.440002,143.8466693,0.593332667,145.110001,144.0700023,1.039998667,145.800003,144.330002
,14/05/2021,145.110001,144.7766673,0.333333667,144.679993,144.566666,0.113327,145.690002,143.960007
,13/05/2021,141.449997,143.6666667,-2.216669667,144.169998,144.6533307,-0.483332667,144.899994,141.279999
,12/05/2021,143.839996,143.4666647,0.373331333,141.300003,143.3833313,-2.083328333,144.149994,141.139999
,11/05/2021,144.990005,143.426666,1.563339,144.220001,143.2300007,0.990000333,145.190002,142.899994
,10/05/2021,145.800003,144.876668,0.923335,146.169998,143.8966673,2.273330667,148.380005,145.800003
,07/05/2021,145.919998,145.570002,0.349996,145.460007,145.2833353,0.176671667,146.139999,144.570007
,06/05/2021,145.259995,145.6599987,-0.400003667,148.419998,146.6833343,1.736663667,148.509995,145.179993
,05/05/2021,145.940002,145.706665,0.233337,145.220001,146.3666687,-1.146667667,145.940002,144.970001
,04/05/2021,144.410004,145.2033337,-0.793329667,145.75,146.463333,-0.713333,146.589996,144.330002
,03/05/2021,143.809998,144.7200013,-0.910003333,144.75,145.2400003,-0.490000333,145.75,143.550003
,30/04/2021,143.699997,143.973333,-0.273336,141.880005,144.1266683,-2.246663333,143.830002,140.550003
,29/04/2021,144.130005,143.88,0.250005,144.240005,143.6233367,0.616668333,148.740005,142.979996
,28/04/2021,142.919998,143.5833333,-0.663335333,143,143.0400033,-0.040003333,143.399994,142.100006
,27/04/2021,141.690002,142.913335,-1.223333,142.009995,143.0833333,-1.073338333,142.559998,140.75
,26/04/2021,142.419998,142.3433327,0.076665333,141.570007,142.193334,-0.623327,143.630005,141.479996
,23/04/2021,141.309998,141.806666,-0.496668,142.429993,142.0033317,0.426661333,143.610001,140.949997
,22/04/2021,143.699997,142.4766643,1.223332667,141.279999,141.7599997,-0.480000667,144.740005,141
,21/04/2021,138.059998,141.023331,-2.963333,143.550003,142.4199983,1.130004667,143.729996,137.710007
,20/04/2021,137.070007,139.6100007,-2.539993667,138.160004,140.9966687,-2.836664667,139.770004,136.699997
,19/04/2021,133.600006,136.243337,-2.643331,133.119995,138.2766673,-5.156672333,133.820007,132.580002
,16/04/2021,133,134.556671,-1.556671,133.589996,134.956665,-1.366669,134.100006,132.949997
,15/04/2021,133.279999,133.293335,-0.013336,132.580002,133.0966643,-0.516662333,133.869995,132.220001
,14/04/2021,131.309998,132.529999,-1.220001,132.630005,132.9333343,-0.303329333,132.779999,130.520004
,13/04/2021,133,132.529999,0.470001,131.179993,132.13,-0.950007,133.619995,130.380005
,12/04/2021,135.020004,133.1100007,1.910003333,134.589996,132.799998,1.789998,135.369995,133.850006
,09/04/2021,134.869995,134.2966663,0.573328667,135.729996,133.8333283,1.896667667,135.740005,134.710007
,08/04/2021,134.570007,134.820002,-0.249995,135.119995,135.1466623,-0.026667333,135.630005,134.160004
,07/04/2021,133.839996,134.426666,-0.58667,134.929993,135.2599947,-0.330001667,134.940002,133.779999
,06/04/2021,135.580002,134.663335,0.916667,134.220001,134.756663,-0.536662,135.639999,134.089996
,05/04/2021,133.639999,134.3533323,-0.713333333,135.929993,135.0266623,0.903330667,136.690002,133.399994
,01/04/2021,133.759995,134.3266653,-0.566670333,133.229996,134.4599967,-1.230000667,133.929993,132.270004
,31/03/2021,134.539993,133.9799957,0.559997333,133.259995,134.1399947,-0.879999667,134.710007,132.710007
,30/03/2021,135.860001,134.7199963,1.140004667,134.720001,133.736664,0.983337,136.270004,134.020004
,29/03/2021,135.979996,135.4599967,0.519999333,135.860001,134.6133323,1.246668667,137.070007,135.509995
,26/03/2021,133.289993,135.04333,-1.753337,136.380005,135.6533357,0.726669333,136.479996,133.119995
,25/03/2021,130.330002,133.199997,-2.869995,133.070007,135.1033377,-2.033330667,133.240005,129.770004
,24/03/2021,130.949997,131.5233307,-0.573333667,130.619995,133.356669,-2.736674,132.110001,130.570007
,23/03/2021,130.440002,130.5733337,-0.133331667,130.460007,131.3833363,-0.923329333,131.559998,129.800003
,22/03/2021,128.5,129.963333,-1.463333,130.550003,130.543335,0.006668,130.720001,127.889999
,19/03/2021,130.020004,129.6533353,0.366668667,128.899994,129.9700013,-1.070007333,130.440002,128.529999
,18/03/2021,128.940002,129.1533353,-0.213333333,130.059998,129.836665,0.223333,131,127.790001
